Name,Country,Year,Price,Rating,Rating Counter,Tastes
Nizza DOCG Bansella Prunotto,Italien,2021,14.80,4.1,4558,"['59.4126%', '28.4791%', '14.9598%', '47.4053%']"
Barolo DOCG Albarello,Italien,2020,12.95,3.5,365,"['56.7128%', '69.196%', '4.69257%', '68.5608%']"
"Trento DOC Metodo Classico Cesarini Sforza, brut",Italien,,13.50,3.9,354,"['41.0872%', '43.9916%', '43.995%']"
Ribera del Duero DO Crianza Pesquera,Spanien,2019,18.70,4.0,60625,None
Naturaplan Bio Monbazillac AOC Le Petit Vari,Frankreich,2021,10.50,3.9,296,"['67.5%', '85%', '46.3803%']"
Minervois AOP Rouge La Cigale 6x 75cl,Frankreich,2022,29.70,4.5,1313,"['71.3952%', '59.3159%', '6.83565%', '62.3306%']"
Saint-Joseph AOC Domaine Courbis,Frankreich,2022,17.95,4.0,2730,"['75.1443%', '47.3366%', '5.44232%', '54.0749%']"
Médoc AOC Château Moulin de Noaillac,Frankreich,2021,6.95,3.4,1315,"['70.6094%', '64.6738%', '0px', '73.1816%']"
Ribera del Duero DO Protos Roble,Spanien,2021,10.45,3.8,58096,"['62.4122%', '53.9999%', '14.95%', '58.9749%']"
Rueda DO Verdejo Legaris,Spanien,2023,7.95,3.5,5291,"['22.0967%', '20.9676%', '52.3114%']"
Lavaux AOC Chardonne Le Chantey,Schweiz,2022,11.95,3.4,148,"['29.078%', '6.86561%', '69.7182%']"
Valais AOC Le Tourmentin,Schweiz,2021,26.95,4.0,1890,None
"Prosecco DOC Soffio Oro, brut",Italien,,8.95,3.8,2351,"['16.9843%', '50.7998%', '58.8847%']"
Cadillac Côtes de Bordeaux AOC Château de Ricaud,Frankreich,2017,8.35,3.7,4261,None
Ribera del Duero DO Crianza Legaris,Spanien,2020,10.45,3.8,15456,None
Ticino DOC Merlot l'Ariete Valsangiacomo,Schweiz,2019,11.60,3.3,472,"['62.3024%', '45.8306%', '0.57481%', '48.2973%']"
Shiraz Coonawarra Wynns Estate,Australien,2019,8.75,3.6,7533,"['80.9473%', '44.566%', '17.0764%', '42.6277%']"
Piemonte DOC Brut Fontanafredda,Italien,,13.50,3.9,57,"['42.5%', '44.9819%', '67.5%']"
Suisse VdP Assemblage Rosé Porte Novembre Ice Maison Gilliard,Schweiz,,14.95,4.1,1232,None
Médoc Cabernet Sauvignon Rosé de Laujac,Frankreich,,8.50,3.3,951,"['44.147%', '4.38116%', '48.7412%']"
Salquenen AOC Pinot Noir Grand Cru,Schweiz,2022,20.95,3.9,176,"['0px', '29.7239%', '4.29908%', '74.6626%']"
Bonvillars AOC Pinot Noir Vin des Croisés Cave Viticulteurs de Bonvillars,Schweiz,2022,10.95,3.4,584,"['6.7879%', '19.6104%', '13.3863%', '65.2533%']"
